POS	Code	Case	Code	Number	Code	Genre	Code	Degre	Code	Mode	Code	Temps	Code	Voix	Code	Personne	Code	Morph	Empty
Verbe	VER	Locatif	Loc	Pluriel	Plur	Féminin	Fem			Participe	Par	Futur	Fut	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Datif	Dat	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Ablatif	Abl	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Locatif	Loc	Singulier	Sing	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Vocatif	Voc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Datif	Dat	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Ablatif	Abl	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Locatif	Loc	Pluriel	Plur	Masculin Féminin	MascFem			Participe	Par	Futur	Fut	Actif	Act				
																			
Verbe	VER	Nominatif	Nom	Singulier	Sing	Masculin	Masc			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Vocatif	Voc	Singulier	Sing	Masculin	Masc			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Accusatif	Acc	Singulier	Sing	Masculin	Masc			Participe	Par	Futur	Fut	Actif	Act				
Verbe	VER	Génitif	Gen	Singulier	Sing	Masculin	Masc			Participe	Par	Futur	Fut	Actif	Act				
